# Analytical C(K) for STC model with ER backbone
# c = 3.000000
# f = 0.100000
# <K> = 3.900000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.059172
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   1.56151602e-01   0.29132283   -nan   1.78741908   0.29132283
     3   1.69841880e-01   0.23342184   0.25682130   2.50699730   0.70026553
     4   1.55219951e-01   0.19989603   0.20855736   3.17705205   1.19937620
     5   1.24582475e-01   0.17683347   0.17996482   3.81249301   1.76833465
     6   9.02489197e-02   0.15970844   0.16029370   4.42113407   2.39562663
     7   6.00975726e-02   0.14634929   0.14675261   5.00822617   3.07333509
     8   3.72722037e-02   0.13556247   0.13538249   5.57742602   3.79574905
     9   2.17406815e-02   0.12662620   0.12612165   6.13141984   4.55854325
    10   1.20172587e-02   0.11907387   0.11838674   6.67225490   5.35832399
    11   6.33273599e-03   0.11258827   0.11180041   7.20153690   6.19235459
    12   3.19705700e-03   0.10694514   0.10610539   7.72055501   7.05837895
    13   1.55251190e-03   0.10198081   0.10111904   8.23036421   7.95450321
    14   7.27639796e-04   0.09757268   0.09670742   8.73184186   8.87911346
    16   1.45311745e-04   0.09006998   0.08922801   9.71265255   10.80839707
    17   6.22034265e-05   0.08684400   0.08602158   10.19316038   11.81078375
    19   1.05583732e-05   0.08120626   0.08042921   11.13675810   13.88627001
    20   4.19981599e-06   0.07872501   0.07797176   11.60062853   14.95775120
    22   6.23532178e-07   0.07430608   0.07360000   12.51414469   17.16470526
    24   8.56704890e-08   0.07048197   0.06982073   13.41048825   19.45302421
    26   1.09745631e-08   0.06713417   0.06651456   14.29146237   21.81860410
    29   4.47195501e-10   0.06281841   0.06225487   15.58730378   25.50427565
    32   1.60564157e-11   0.05916528   0.05865056   16.85594842   29.34597719
    35   5.15013512e-13   0.05602594   0.05555369   18.10061876   33.33543417
    38   1.49239775e-14   0.05329398   0.05285876   19.32391569   37.46566808
    41   3.94362296e-16   0.05089110   0.05048829   20.52797726   41.73069886
