# K_max scaling — structural cutoff (OpenMP, 22 threads)
# kmax = min(N^{1/(gamma-1)}, N^{1/2})
# f=0.100  kmin=3  R=10
#
# gamma    N          kmax      Kmax_mean       Kmax_std      exp_pred  cutoff

2.25      10000       100       323.30          15.70         0.8750  structural
2.25      100000      316       1867.50         58.84         0.8750  structural
2.25      1000000     1000      11415.40        289.49        0.8750  structural
2.25      10000000    3162      75505.20        1357.99       0.8750  structural
2.25      100000000   10000     517806.20       7782.11       0.8750  structural

2.50      10000       100       261.30          14.93         0.7500  structural
2.50      100000      316       1261.00         28.54         0.7500  structural
2.50      1000000     1000      6394.80         196.49        0.7500  structural
2.50      10000000    3162      33309.60        738.60        0.7500  structural
2.50      100000000   10000     178234.30       2958.43       0.7500  structural

2.75      10000       100       217.40          13.42         0.6250  structural
2.75      100000      316       916.40          52.47         0.6250  structural
2.75      1000000     1000      3671.70         247.60        0.6250  structural
2.75      10000000    3162      15399.60        679.37        0.6250  structural
2.75      100000000   10000     64340.20        2055.61       0.6250  structural

3.00      10000       100       189.80          8.08          0.5000  natural
3.00      100000      316       636.20          52.70         0.5000  natural
3.00      1000000     1000      2273.70         114.68        0.5000  natural
3.00      10000000    3162      8260.20         355.44        0.5000  natural
3.00      100000000   10000     29174.90        2242.96       0.5000  natural

3.50      10000       39        61.10           3.88          0.4000  natural
3.50      100000      100       156.70          7.98          0.4000  natural
3.50      1000000     251       400.90          13.69         0.4000  natural
3.50      10000000    630       987.20          60.45         0.4000  natural
3.50      100000000   1584      2587.60         103.69        0.4000  natural

4.50      10000       13        20.30           1.27          0.2857  natural
4.50      100000      26        38.50           2.16          0.2857  natural
4.50      1000000     51        71.90           1.58          0.2857  natural
4.50      10000000    99        136.50          5.99          0.2857  natural
4.50      100000000   193       261.70          7.04          0.2857  natural
