# P(K) — structural cutoff (OpenMP)
# gamma=2.75  f=0.100  N=100000000  R=5
# kmax=10000  (natural=37276, structural=10000)  cutoff=structural
# <k>=5.9500  <k(k-1)>=307.5122  c(N)=6.1683
# f*kmax=1000  c*kmax=61683
#
# K_center  P(K)  count
2.852554e+00  1.231984e-01  24578261
3.772502e+00  1.588865e-01  41920736
4.989134e+00  1.262193e-01  44041616
5.737504e+00  9.792171e-02  39292922
6.598130e+00  7.220096e-02  33317789
7.587849e+00  5.271377e-02  27974033
8.726026e+00  3.857273e-02  23540150
1.003493e+01  2.845991e-02  19973782
1.154017e+01  3.955004e-02  31920629
1.327120e+01  2.621228e-02  24329165
1.526187e+01  1.797697e-02  19188306
1.755116e+01  1.265442e-02  15533174
2.018383e+01  1.305254e-02  18425152
2.321140e+01  8.824375e-03  14325102
2.669311e+01  7.927136e-03  14798848
3.069708e+01  5.333415e-03  11450245
3.530164e+01  4.520084e-03  11159733
4.059689e+01  3.614738e-03  10263181
4.668642e+01  2.794978e-03  9126019
5.368939e+01  1.883986e-03  7074217
6.174280e+01  1.638040e-03  7073319
7.100422e+01  1.219053e-03  6053673
8.165485e+01  9.078641e-04  5184599
9.390307e+01  7.277537e-04  4779435
1.079885e+02  5.669671e-04  4282012
1.241868e+02  4.565304e-04  3965131
1.428148e+02  3.410079e-04  3406043
1.642371e+02  2.647182e-04  3040656
1.888726e+02  2.024631e-04  2674405
2.172035e+02  1.580973e-04  2401616
2.497840e+02  1.247818e-04  2179859
2.872517e+02  9.851578e-05  1979159
3.303394e+02  7.457888e-05  1723013
3.798903e+02  5.811116e-05  1543939
4.368739e+02  4.534009e-05  1385322
5.024049e+02  3.524756e-05  1238498
5.777657e+02  2.766080e-05  1117709
6.644305e+02  2.151179e-05  999628
7.640951e+02  1.675550e-05  895400
8.787094e+02  1.304843e-05  801892
1.010516e+03  7.218467e-06  510153
1.162093e+03  2.052617e-06  166825
1.336407e+03  1.109940e-06  103741
1.536868e+03  6.613185e-07  71082
1.767398e+03  4.005483e-07  49511
2.032508e+03  2.470291e-07  35115
2.337384e+03  1.553419e-07  25394
2.687992e+03  1.006264e-07  18917
3.091191e+03  6.535416e-08  14129
3.554869e+03  4.280429e-08  10642
4.088100e+03  2.819389e-08  8061
4.701315e+03  1.980536e-08  6512
5.406512e+03  1.290331e-08  4879
6.217489e+03  8.603206e-09  3741
7.150112e+03  5.961242e-09  2981
8.222629e+03  3.916024e-09  2252
9.456024e+03  2.714211e-09  1795
1.087443e+04  1.756660e-09  1336
1.250559e+04  1.242834e-09  1087
1.438143e+04  8.401219e-10  845
1.653864e+04  5.377472e-10  622
1.901944e+04  3.646126e-10  485
2.187236e+04  2.477601e-10  379
2.515321e+04  1.773572e-10  312
2.892619e+04  1.211051e-10  245
3.326512e+04  7.307141e-11  170
3.825489e+04  5.344865e-11  143
4.399312e+04  3.900175e-11  120
5.059209e+04  2.317495e-11  82
5.818090e+04  1.597425e-11  65
6.690804e+04  2.350726e-12  11
