# P(K) — structural cutoff (OpenMP)
# gamma=3.50  f=0.100  N=100000000  R=5
# kmax=1584  (natural=1585, structural=10000)  cutoff=natural
# <k>=4.2952  <k(k-1)>=27.2229  c(N)=1.6338
# f*kmax=158  c*kmax=2588
#
# K_center  P(K)  count
2.852554e+00  3.774167e-01  75295199
3.772502e+00  3.972813e-01  104818987
4.989134e+00  2.505298e-01  87417189
5.737504e+00  1.541157e-01  61841831
6.598130e+00  9.177912e-02  42352308
7.587849e+00  5.529660e-02  29344688
8.726026e+00  3.414669e-02  20839032
1.003493e+01  2.161844e-02  15172289
1.154017e+01  2.472972e-02  19959226
1.327120e+01  1.294175e-02  12012000
1.526187e+01  7.249351e-03  7737833
1.755116e+01  4.264748e-03  5234937
2.018383e+01  3.637634e-03  5134935
2.321140e+01  2.004704e-03  3254348
2.669311e+01  1.472465e-03  2748885
3.069708e+01  8.096924e-04  1738319
3.530164e+01  5.639576e-04  1392367
4.059689e+01  3.681185e-04  1045184
4.668642e+01  2.319796e-04  757448
5.368939e+01  1.288903e-04  483973
6.174280e+01  9.336641e-05  403171
7.100422e+01  5.732858e-05  284687
8.165485e+01  3.580501e-05  204474
9.390307e+01  2.421148e-05  159006
1.079885e+02  1.578460e-05  119213
1.241868e+02  1.073807e-05  93264
1.428148e+02  6.603015e-06  65952
1.642371e+02  3.388097e-06  38917
1.888726e+02  1.304077e-06  17226
2.172035e+02  6.732387e-07  10227
2.497840e+02  4.062541e-07  7097
2.872517e+02  2.443035e-07  4908
3.303394e+02  1.396774e-07  3227
3.798903e+02  8.600341e-08  2285
4.368739e+02  5.354450e-08  1636
5.024049e+02  3.252970e-08  1143
5.777657e+02  1.910527e-08  772
6.644305e+02  1.241692e-08  577
7.640951e+02  7.167027e-09  383
8.787094e+02  4.458543e-09  274
1.010516e+03  2.759175e-09  195
1.162093e+03  1.673346e-09  136
1.336407e+03  8.773295e-10  82
1.536868e+03  5.582160e-10  60
1.767398e+03  4.206845e-10  52
2.032508e+03  2.321503e-10  33
2.337384e+03  1.284626e-10  21
2.687992e+03  2.127745e-11  4
