# K_max scaling — structural cutoff (OpenMP, 22 threads)
# kmax = min(N^{1/(gamma-1)}, N^{1/2})
# f=1.000  kmin=3  R=10
#
# gamma    N          kmax      Kmax_mean       Kmax_std      exp_pred  cutoff

2.25      10000       100       2402.10         73.64         0.8750  structural
2.25      100000      316       15817.10        560.22        0.8750  structural
2.25      1000000     1000      104143.20       2270.32       0.8750  structural
2.25      10000000    3162      727714.90       13821.12      0.8750  structural
2.25      100000000   10000     5090055.30      54233.50      0.8750  structural

2.50      10000       100       1801.00         157.00        0.7500  structural
2.50      100000      316       9942.60         389.63        0.7500  structural
2.50      1000000     1000      55108.00        1710.86       0.7500  structural
2.50      10000000    3162      307510.40       9395.03       0.7500  structural
2.50      100000000   10000     1703259.90      34598.42      0.7500  structural

2.75      10000       100       1388.00         105.38        0.6250  structural
2.75      100000      316       5933.90         243.34        0.6250  structural
2.75      1000000     1000      28267.50        1055.41       0.6250  structural
2.75      10000000    3162      125114.70       3375.05       0.6250  structural
2.75      100000000   10000     574180.80       31760.86      0.6250  structural

3.00      10000       100       907.50          150.18        0.5000  natural
3.00      100000      316       4166.70         268.04        0.5000  natural
3.00      1000000     1000      15098.50        1174.59       0.5000  natural
3.00      10000000    3162      54682.30        4587.35       0.5000  natural
3.00      100000000   10000     213197.40       20288.37      0.5000  natural

3.50      10000       39        264.20          12.69         0.4000  natural
3.50      100000      100       689.90          90.66         0.4000  natural
3.50      1000000     251       1792.70         143.47        0.4000  natural
3.50      10000000    630       4757.80         418.80        0.4000  natural
3.50      100000000   1584      11255.30        725.89        0.4000  natural

4.50      10000       13        66.00           3.66          0.2857  natural
4.50      100000      26        125.10          5.80          0.2857  natural
4.50      1000000     51        251.90          18.90         0.2857  natural
4.50      10000000    99        455.80          15.79         0.2857  natural
4.50      100000000   193       910.20          53.52         0.2857  natural
