# P(K) — structural cutoff (OpenMP)
# gamma=2.75  f=1.000  N=100000000  R=5
# kmax=10000  (natural=37276, structural=10000)  cutoff=structural
# <k>=5.9500  <k(k-1)>=307.5122  c(N)=52.6825
# f*kmax=10000  c*kmax=526825
#
# K_center  P(K)  count
8.726026e+00  3.832233e-03  2338734
1.003493e+01  6.044945e-03  4242473
1.154017e+01  1.453173e-02  11728486
1.327120e+01  1.524486e-02  14149656
1.526187e+01  1.402413e-02  14969114
1.755116e+01  1.218223e-02  14953569
2.018383e+01  1.525775e-02  21538045
2.321140e+01  1.233020e-02  20016300
2.669311e+01  1.291834e-02  24116719
3.069708e+01  9.949029e-03  21359453
3.530164e+01  9.447820e-03  23325926
4.059689e+01  8.423364e-03  23916118
4.668642e+01  7.183323e-03  23454616
5.368939e+01  5.261746e-03  19757440
6.174280e+01  4.921548e-03  21252027
7.100422e+01  3.921890e-03  19475645
8.165485e+01  3.100488e-03  17706157
9.390307e+01  2.621082e-03  17213642
1.079885e+02  2.145728e-03  16205585
1.241868e+02  1.809501e-03  15716172
1.428148e+02  1.407132e-03  14054670
1.642371e+02  1.132497e-03  13008302
1.888726e+02  8.945895e-04  11816943
2.172035e+02  7.203861e-04  10943205
2.497840e+02  5.838479e-04  10199450
2.872517e+02  4.720485e-04  9483343
3.303394e+02  3.654070e-04  8442083
3.798903e+02  2.906560e-04  7722356
4.368739e+02  2.303094e-04  7036880
5.024049e+02  1.815626e-04  6379589
5.777657e+02  1.442712e-04  5829666
6.644305e+02  1.134196e-04  5270477
7.640951e+02  8.937308e-05  4776024
8.787094e+02  7.024215e-05  4316735
1.010516e+03  5.502177e-05  3888571
1.162093e+03  4.343999e-05  3530555
1.336407e+03  3.401570e-05  3179293
1.536868e+03  2.662420e-05  2861709
1.767398e+03  2.086099e-05  2578587
2.032508e+03  1.636235e-05  2325896
2.337384e+03  1.282769e-05  2096964
2.687992e+03  1.003464e-05  1886437
3.091191e+03  7.844766e-06  1695970
3.554869e+03  6.150415e-06  1529116
4.088100e+03  4.814017e-06  1376390
4.701315e+03  3.773307e-06  1240663
5.406512e+03  2.941273e-06  1112154
6.217489e+03  2.311073e-06  1004942
7.150112e+03  1.807966e-06  904098
8.222629e+03  1.415344e-06  813926
9.456024e+03  1.072009e-06  708956
1.087443e+04  2.604906e-07  198112
1.250559e+04  1.204302e-07  105330
1.438143e+04  6.992598e-08  70332
1.653864e+04  4.176618e-08  48310
1.901944e+04  2.505903e-08  33333
2.187236e+04  1.550429e-08  23717
2.515321e+04  9.723381e-09  17105
2.892619e+04  6.320204e-09  12786
3.326512e+04  4.109622e-09  9561
3.825489e+04  2.721770e-09  7282
4.399312e+04  1.811306e-09  5573
5.059209e+04  1.224598e-09  4333
5.818090e+04  8.041193e-10  3272
6.690804e+04  5.438725e-10  2545
7.694425e+04  3.616216e-10  1946
8.848588e+04  2.490097e-10  1541
1.017588e+05  1.656646e-10  1179
1.170226e+05  1.158314e-10  948
1.345760e+05  7.522348e-11  708
1.547624e+05  5.229242e-11  566
1.779767e+05  3.229613e-11  402
2.046732e+05  2.249482e-11  322
2.353742e+05  1.628034e-11  268
2.706803e+05  1.072326e-11  203
3.112824e+05  8.084362e-12  176
3.579747e+05  5.352295e-12  134
4.116710e+05  3.369063e-12  97
4.734216e+05  2.053754e-12  68
5.444348e+05  5.777826e-13  22
6.261001e+05  4.567451e-14  2
