# P(K) — structural cutoff (OpenMP)
# gamma=3.00  f=1.000  N=100000000  R=5
# kmax=10000  (natural=10000, structural=10000)  cutoff=natural
# <k>=5.1239  <k(k-1)>=102.4278  c(N)=20.9901
# f*kmax=10000  c*kmax=209901
#
# K_center  P(K)  count
8.726026e+00  8.772610e-03  5353745
1.003493e+01  1.287524e-02  9036118
1.154017e+01  2.847767e-02  22984183
1.327120e+01  2.785464e-02  25853536
1.526187e+01  2.414371e-02  25770582
1.755116e+01  1.994553e-02  24482946
2.018383e+01  2.366184e-02  33401383
2.321140e+01  1.804054e-02  29286210
2.669311e+01  1.783932e-02  33303506
3.069708e+01  1.296175e-02  27827431
3.530164e+01  1.164342e-02  28746693
4.059689e+01  9.773205e-03  27748667
4.668642e+01  7.837241e-03  25589755
5.368939e+01  5.409106e-03  20310765
6.174280e+01  4.776501e-03  20625693
7.100422e+01  3.583949e-03  17797472
8.165485e+01  2.671019e-03  15253562
9.390307e+01  2.128657e-03  13979699
1.079885e+02  1.641630e-03  12398393
1.241868e+02  1.302906e-03  11316207
1.428148e+02  9.525885e-04  9514610
1.642371e+02  7.219383e-04  8292464
1.888726e+02  5.377304e-04  7103067
2.172035e+02  4.078234e-04  6195143
2.497840e+02  3.112099e-04  5436639
2.872517e+02  2.367820e-04  4756895
3.303394e+02  1.728114e-04  3992501
3.798903e+02  1.294908e-04  3440403
4.368739e+02  9.685471e-05  2959301
5.024049e+02  7.210715e-05  2533638
5.777657e+02  5.414474e-05  2187864
6.644305e+02  4.020026e-05  1868060
7.640951e+02  3.003295e-05  1604936
8.787094e+02  2.229846e-05  1370353
1.010516e+03  1.658659e-05  1172229
1.162093e+03  1.241829e-05  1009288
1.336407e+03  9.227987e-06  862498
1.536868e+03  6.864624e-06  737846
1.767398e+03  5.110411e-06  631688
2.032508e+03  3.813266e-06  542053
2.337384e+03  2.856691e-06  466988
2.687992e+03  2.129932e-06  400411
3.091191e+03  1.588677e-06  343458
3.554869e+03  1.190375e-06  295951
4.088100e+03  8.887985e-07  254119
4.701315e+03  6.686407e-07  219849
5.406512e+03  4.992702e-07  188784
6.217489e+03  3.743832e-07  162796
7.150112e+03  2.805963e-07  140316
8.222629e+03  2.092917e-07  120358
9.456024e+03  1.506712e-07  99644
1.087443e+04  1.638717e-08  12463
1.250559e+04  6.335364e-09  5541
1.438143e+04  3.446985e-09  3467
1.653864e+04  1.923613e-09  2225
1.901944e+04  1.162250e-09  1546
2.187236e+04  7.171313e-10  1097
2.515321e+04  4.377085e-10  770
2.892619e+04  2.684085e-10  543
3.326512e+04  1.813890e-10  422
3.825489e+04  1.218480e-10  326
4.399312e+04  7.052817e-11  217
5.059209e+04  5.426331e-11  192
5.818090e+04  3.096547e-11  126
6.690804e+04  1.859211e-11  87
7.694425e+04  1.468042e-11  79
8.848588e+04  1.082651e-11  67
1.017588e+05  5.058460e-12  36
1.170226e+05  4.032106e-12  33
1.345760e+05  2.443701e-12  23
1.547624e+05  1.570620e-12  17
1.779767e+05  1.365757e-12  17
2.046732e+05  4.890178e-13  7
2.353742e+05  1.822427e-13  3
